Position_X,Position_Y,Position_Z,Rotation_X,Rotation_Y,Rotation_Z
-0.038,0,-0.022,354.349,359.144,3.135
-0.038,0,-0.022,354.311,359.107,3.14
-0.038,0,-0.022,354.388,359.212,3.059
-0.038,0,-0.022,354.269,359.181,3.073
-0.038,0,-0.022,354.313,359.178,3.082
-0.038,0,-0.022,354.261,359.158,3.079
-0.038,0,-0.022,354.181,359.244,3.099
-0.038,0.001,-0.022,354.108,359.215,3.075
-0.038,0,-0.022,354.155,359.269,3.031
-0.038,0,-0.023,354.169,359.265,3.088
-0.038,0,-0.023,354.163,359.25,3.11
-0.038,0,-0.023,354.163,359.25,3.11
-0.038,0,-0.023,354.163,359.25,3.11
-0.038,0,-0.023,354.163,359.25,3.11
-0.038,0,-0.023,354.163,359.25,3.11
-0.038,0,-0.023,354.163,359.25,3.11
-0.038,0,-0.023,354.163,359.25,3.11
-0.038,0,-0.023,354.163,359.25,3.11
-0.038,0,-0.023,354.163,359.25,3.11
-0.038,0,-0.023,354.163,359.25,3.11
-0.038,0,-0.023,354.163,359.25,3.11
-0.038,0,-0.023,354.163,359.25,3.11
-0.038,0,-0.023,354.163,359.25,3.11
-0.038,0,-0.023,354.163,359.25,3.11
-0.038,0,-0.023,354.163,359.25,3.11
-0.038,0,-0.023,354.163,359.25,3.11
-0.038,0,-0.023,354.163,359.25,3.11
-0.038,0,-0.023,354.163,359.25,3.11
-0.038,0,-0.023,354.163,359.25,3.11
-0.038,0,-0.023,354.163,359.25,3.11
-0.038,0,-0.023,354.163,359.25,3.11
-0.031,-0.001,-0.028,353.362,359.897,1.645
-0.031,-0.001,-0.028,353.362,359.897,1.645
-0.031,-0.001,-0.028,353.362,359.897,1.645
-0.031,-0.001,-0.028,353.362,359.897,1.645
-0.031,-0.001,-0.028,353.362,359.897,1.645
-0.031,-0.001,-0.028,353.362,359.897,1.645
-0.031,-0.001,-0.028,353.362,359.897,1.645
-0.031,-0.001,-0.028,353.362,359.897,1.645
-0.031,-0.001,-0.028,353.362,359.897,1.645
-0.031,-0.001,-0.028,353.362,359.897,1.645
-0.031,-0.001,-0.028,353.362,359.897,1.645
-0.031,-0.001,-0.028,353.362,359.897,1.645
-0.031,-0.001,-0.028,353.362,359.897,1.645
-0.031,-0.001,-0.028,353.362,359.897,1.645
-0.031,-0.001,-0.028,353.362,359.897,1.645
-0.031,-0.001,-0.028,353.362,359.897,1.645
-0.031,-0.001,-0.028,353.362,359.897,1.645
-0.031,-0.001,-0.028,353.362,359.897,1.645
-0.03,-0.001,-0.023,353.273,358.968,1.896
-0.026,-0.001,-0.017,352.978,357.964,2.083
-0.026,-0.001,-0.017,352.978,357.964,2.083
-0.021,-0.001,-0.011,352.643,357.151,1.95
-0.014,-0.003,-0.002,352.465,356.236,1.87
-0.009,-0.004,0.004,352.619,355.651,1.66
-0.003,-0.004,0.011,352.713,355.086,1.515
0.003,-0.003,0.018,352.943,354.393,1.398
0.01,-0.004,0.025,352.174,354.052,1.148
0.017,-0.004,0.031,351.909,354.066,1.504
0.027,-0.004,0.038,351.147,354.64,1.499
0.039,-0.004,0.047,350.135,355.809,1.343
0.044,-0.004,0.05,350.132,356.06,1.452
0.053,-0.003,0.057,349.728,356.594,1.517
0.06,-0.002,0.06,350.069,356.344,1.626
0.065,-0.001,0.065,349.396,356.839,1.636
0.076,0,0.071,349.278,357.311,1.406
0.079,0.002,0.075,348.331,357.503,0.955
0.084,0.002,0.078,347.164,357.611,0.335
0.101,0.005,0.084,345.647,357.196,359.934
0.106,0.006,0.087,344.884,355.996,0.357
0.108,0.006,0.089,344.399,355.71,0.346
0.111,0.006,0.091,344.394,355.359,0.131
0.117,0.009,0.1,344.643,354.171,359.542
0.121,0.012,0.107,345.255,353.853,359.013
0.121,0.012,0.113,345.413,353.542,358.197
0.121,0.013,0.121,345.133,353.728,358.071
0.12,0.011,0.129,344.696,353.269,357.895
0.12,0.012,0.132,345.285,353.418,357.894
0.114,0.011,0.152,347.006,353.355,357.804
0.108,0.011,0.172,347.186,353.488,357.898
0.101,0.011,0.192,347.33,353.595,358.044
0.101,0.011,0.192,347.33,353.595,358.044
0.091,0.014,0.219,347.867,353.919,357.911
0.082,0.019,0.248,348.145,353.671,358.319
0.076,0.021,0.266,348.372,353.202,358.38
0.072,0.022,0.284,348.3,353.025,358.181
0.066,0.023,0.323,348.441,353.093,358.175
0.066,0.023,0.334,348.17,352.795,357.921
0.066,0.023,0.334,348.17,352.795,357.921
0.072,0.024,0.37,348.04,352.246,357.262
0.079,0.024,0.389,348.548,351.717,356.787
0.085,0.023,0.402,348.911,351.088,356.348
0.091,0.022,0.412,348.836,350.588,355.921
0.113,0.02,0.44,349.14,348.726,355.666
0.121,0.019,0.45,348.859,347.873,355.548
0.131,0.017,0.46,348.742,347.146,355.455
0.156,0.013,0.485,348.698,345.698,355.933
0.184,0.011,0.509,348.527,343.552,356.661
0.195,0.013,0.518,349.019,342.605,357.155
0.216,0.014,0.539,347.795,340.855,357.577
0.227,0.015,0.548,347.688,340.104,357.495
0.246,0.017,0.568,347.981,339.658,357.633
0.27,0.017,0.592,347.69,338.575,358.107
0.27,0.017,0.592,347.69,338.575,358.107
0.278,0.017,0.601,347.752,338.283,358.055
0.309,0.013,0.64,347.459,337.286,357.891
0.329,0.011,0.671,348.471,337.021,357.645
0.329,0.011,0.671,348.471,337.021,357.645
0.338,0.011,0.689,348.657,337.107,357.426
0.352,0.011,0.72,348.601,336.845,357.626
0.357,0.009,0.733,348.336,336.981,357.426
0.365,0.007,0.754,348.101,337.018,357.383
0.37,0.005,0.768,347.879,337.218,357.467
0.38,0.004,0.798,347.704,337.715,357.51
0.388,0.003,0.829,346.935,338.291,357.823
0.392,0.004,0.845,346.355,338.3,358.009
0.396,0.006,0.862,346.668,338.483,357.777
0.408,0.015,0.902,347.23,338.429,357.639
0.416,0.019,0.923,347.436,338.366,357.431
0.422,0.02,0.937,347.044,338.288,357.452
0.44,0.022,0.968,347.91,338.394,357.559
0.449,0.023,0.979,348.283,338.489,357.507
0.478,0.024,1.007,349.437,338.439,357.044
0.49,0.023,1.015,349.585,338.625,356.934
0.511,0.021,1.026,349.941,338.852,356.788
0.58,0.013,1.046,350.685,341.087,356.828
0.6,0.012,1.05,350.584,341.468,357.081
0.6,0.012,1.05,350.584,341.468,357.081
0.642,0.011,1.057,350.956,341.939,357.335
0.694,0.013,1.066,350.445,342.498,357.529
0.722,0.014,1.071,349.997,342.764,357.163
0.749,0.015,1.078,350.016,342.245,357.247
0.783,0.014,1.086,349.865,341.168,357.361
0.814,0.013,1.094,350.654,340.264,357.163
0.829,0.012,1.099,351.212,340.214,356.817
0.851,0.011,1.107,351.8,340.936,356.575
0.893,0.007,1.126,352.168,342.346,357.042
0.906,0.005,1.133,352.506,342.576,357.331
0.938,0,1.154,352.76,343.45,357.649
0.957,-0.002,1.168,352.488,344.001,358.157
0.969,-0.004,1.179,352.194,344.242,358.559
0.994,-0.005,1.201,351.859,344.667,359.43
1.018,-0.002,1.225,352.759,345.485,359.678
1.045,0.005,1.245,353.743,345.887,359.927
1.059,0.008,1.254,353.677,346.192,359.981
1.072,0.01,1.264,353.579,346.737,359.888
1.13,0.017,1.297,353.133,347.23,358.645
1.13,0.017,1.297,353.133,347.23,358.645
1.168,0.015,1.312,352.388,347.413,358.332
1.193,0.014,1.32,352.269,347.31,358.24
1.218,0.011,1.325,352.262,347.353,358.416
1.255,0.009,1.331,352.582,346.93,358.832
1.276,0.008,1.334,352.154,346.326,359.176
1.346,0.007,1.343,351.791,342.719,0.667
1.367,0.008,1.345,352.171,341.295,0.843
1.367,0.008,1.345,352.171,341.295,0.843
1.415,0.01,1.354,351.956,338.891,0.64
1.477,0.011,1.368,351.848,337.785,0.59
1.477,0.011,1.368,351.848,337.785,0.59
1.515,0.009,1.382,351.833,336.936,0.42
1.541,0.007,1.396,352.651,335.765,359.602
1.564,0.005,1.411,353.853,335.183,359.276
1.564,0.005,1.411,353.853,335.183,359.276
1.564,0.005,1.411,353.853,335.183,359.276
1.617,-0.004,1.464,354.437,333.699,359.056
1.617,-0.004,1.464,354.437,333.699,359.056
1.637,-0.008,1.495,353.697,332.747,359.517
1.637,-0.008,1.495,353.697,332.747,359.517
1.637,-0.008,1.495,353.697,332.747,359.517
1.637,-0.008,1.495,353.697,332.747,359.517
1.68,-0.004,1.581,353.905,335.143,359.956
1.691,0.001,1.605,354.009,335.797,359.495
1.709,0.007,1.64,352.958,334.984,359.754
1.709,0.007,1.64,352.958,334.984,359.754
1.709,0.007,1.64,352.958,334.984,359.754
1.774,0.011,1.745,352.351,333.857,357.328
1.779,0.01,1.753,352.228,333.709,357.303
1.786,0.01,1.761,352.257,333.413,357.451
1.786,0.01,1.761,352.257,333.413,357.451
1.859,-0.002,1.851,350.018,330.611,358.138
1.894,0.001,1.894,350.334,328.398,358.464
1.894,0.001,1.894,350.334,328.398,358.464
1.919,0.007,1.927,350.619,327.086,358.075
1.919,0.007,1.927,350.619,327.086,358.075
1.919,0.007,1.927,350.619,327.086,358.075
1.971,0.012,2.028,350.488,324.073,357.663
1.976,0.012,2.046,349.762,323.805,357.496
1.98,0.009,2.064,349.543,323.605,357.461
1.98,0.009,2.064,349.543,323.605,357.461
1.991,0.002,2.142,350.202,322.916,357.511
1.991,0,2.151,350.1,322.754,357.496
1.991,-0.005,2.201,349.941,322.076,357.727
1.991,-0.005,2.211,349.843,321.95,357.665
1.991,-0.005,2.211,349.843,321.95,357.665
1.987,0.004,2.31,350.389,322.746,357.037
1.987,0.007,2.331,350.254,323.25,356.796
1.987,0.01,2.364,350.014,324.057,356.765
1.988,0.013,2.398,349.566,324.892,356.497
1.988,0.013,2.398,349.566,324.892,356.497
1.989,0.015,2.463,350.503,325.29,355.81
1.994,0.009,2.526,351.217,324.661,355.465
2,0.004,2.569,351.167,323.651,355.643
2,0.004,2.569,351.167,323.651,355.643
2,0.004,2.569,351.167,323.651,355.643
2.028,-0.004,2.691,351.21,319.677,357.109
2.036,0.001,2.724,352.314,318.545,357.223
2.04,0.005,2.747,351.949,318.132,357.117
2.04,0.005,2.747,351.949,318.132,357.117
2.048,0.009,2.801,351.312,316.93,358.129
2.051,0.01,2.821,351.943,316.587,358.239
2.054,0.011,2.861,352.384,315.843,357.892
2.053,0.01,2.907,351.942,314.508,357.674
2.053,0.01,2.907,351.942,314.508,357.674
2.053,0.01,2.907,351.942,314.508,357.674
2.041,0.006,2.995,349.101,308.474,356.911
2.038,0.006,3.004,348.089,307.513,356.924
2.038,0.006,3.004,348.089,307.513,356.924
2.038,0.006,3.004,348.089,307.513,356.924
2.001,0.016,3.14,344.391,298.615,357.178
1.998,0.018,3.159,344.199,297.974,357.325
1.995,0.019,3.177,344.245,297.168,357.351
1.993,0.021,3.225,345.445,295.37,356.895
1.995,0.02,3.264,345.683,295.98,356.076
1.996,0.019,3.273,345.872,296.265,355.961
2.001,0.015,3.323,346.969,298.683,355.963
2.007,0.01,3.363,347.831,299.69,356.613
2.011,0.009,3.383,347.818,299.921,357.259
2.017,0.007,3.414,348.292,299.711,358.284
2.023,0.007,3.456,347.503,300.51,358.535
2.031,0.008,3.495,348.407,301.441,358.883
2.034,0.01,3.513,348.559,302.345,359.247
2.037,0.011,3.542,347.993,302.938,0.34
2.037,0.011,3.57,347.729,303.273,0.529
2.035,0.01,3.624,348.521,304.787,359.681
2.035,0.01,3.624,348.521,304.787,359.681
2.029,0.01,3.651,348.135,305.946,359.679
2.01,0.005,3.706,347.65,308.568,0.314
1.989,0.002,3.75,347.749,311.142,1
1.979,0.002,3.767,347.515,312.056,1.153
1.969,0.003,3.785,347.428,312.912,1.304
1.945,0.01,3.828,347.944,315.265,1.265
1.939,0.011,3.839,347.613,315.713,1.307
1.909,0.017,3.902,346.223,319.667,2.338
1.906,0.017,3.911,346.396,320.13,2.485
1.891,0.019,3.958,347.672,322.042,2.965
1.883,0.02,3.987,347.456,322.781,2.861
1.88,0.018,3.998,347.097,322.554,2.788
1.874,0.015,4.028,347.124,322.571,2.955
1.868,0.011,4.058,347.302,321.917,3.415
1.863,0.006,4.111,346.594,319.013,4.592
