Position_X,Position_Y,Position_Z,Rotation_X,Rotation_Y,Rotation_Z
0.03,-0.018,-0.086,354.359,359.509,3.612
0.03,-0.018,-0.086,354.29,359.48,3.74
0.03,-0.018,-0.086,354.314,359.516,3.711
0.03,-0.018,-0.086,354.325,359.44,3.756
0.03,-0.018,-0.086,354.228,359.512,3.795
0.03,-0.018,-0.086,354.134,359.509,3.842
0.03,-0.018,-0.086,354.128,359.462,3.915
0.03,-0.018,-0.086,354.161,359.529,3.879
0.03,-0.018,-0.086,354.161,359.529,3.879
0.03,-0.018,-0.086,354.099,359.505,3.911
0.03,-0.018,-0.086,354.099,359.505,3.911
0.03,-0.018,-0.086,354.099,359.505,3.911
0.03,-0.018,-0.086,354.099,359.505,3.911
0.03,-0.018,-0.086,354.099,359.505,3.911
0.03,-0.018,-0.086,354.099,359.505,3.911
0.03,-0.018,-0.086,354.099,359.505,3.911
0.03,-0.018,-0.086,354.099,359.505,3.911
0.03,-0.018,-0.086,354.099,359.505,3.911
0.03,-0.018,-0.086,354.099,359.505,3.911
0.03,-0.018,-0.086,354.099,359.505,3.911
0.03,-0.018,-0.086,354.099,359.505,3.911
0.03,-0.018,-0.086,354.099,359.505,3.911
0.03,-0.018,-0.086,354.099,359.505,3.911
0.03,-0.018,-0.086,354.099,359.505,3.911
0.03,-0.018,-0.086,354.099,359.505,3.911
0.03,-0.018,-0.086,354.099,359.505,3.911
0.03,-0.018,-0.086,354.099,359.505,3.911
0.03,-0.018,-0.086,354.099,359.505,3.911
0.03,-0.018,-0.086,354.099,359.505,3.911
0.03,-0.018,-0.086,354.099,359.505,3.911
0.03,-0.018,-0.086,354.099,359.505,3.911
0.03,-0.018,-0.086,354.099,359.505,3.911
0.03,-0.018,-0.086,354.099,359.505,3.911
0.03,-0.018,-0.086,354.099,359.505,3.911
0.03,-0.018,-0.086,354.099,359.505,3.911
0.03,-0.018,-0.086,354.099,359.505,3.911
0.03,-0.018,-0.086,354.099,359.505,3.911
0.03,-0.018,-0.086,354.099,359.505,3.911
0.03,-0.018,-0.086,354.099,359.505,3.911
0.03,-0.018,-0.086,354.099,359.505,3.911
0.03,-0.018,-0.086,354.099,359.505,3.911
0.03,-0.018,-0.086,354.099,359.505,3.911
